snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-04-16,Amiraelhoufy,1,0,0,0,0,0,0,1,1
2026-04-16,PhamAnhQuoc-HTTT,1,0,0,0,0,0,0,1,1
2026-04-16,bbergmann4,1,0,0,0,0,0,0,1,1
2026-04-16,chanakaekanayaka,1,0,0,0,0,0,0,1,1
2026-04-16,huynhtai22,1,0,0,0,0,0,0,1,1
2026-04-16,iam-Kishor,1,0,0,0,0,0,0,1,1
2026-04-16,kevin8818288-arch,1,0,0,0,0,0,0,1,1
2026-04-16,konswe,1,0,0,0,0,0,0,1,1
2026-04-16,lauosgom,1,0,0,0,0,0,0,1,1
2026-04-16,pkurri,1,0,0,0,0,16,0,1,1
2026-04-16,sujalghodke79-hash,1,0,0,0,0,0,0,1,1
2026-04-16,xTx396,1,0,0,0,0,0,0,1,1
2026-04-16,yanderakesh,1,0,0,0,0,0,0,1,1
2026-03-31,Grajeevgithub,1,0,0,0,0,0,0,1,1
2026-03-31,anormanangel,1,0,0,0,0,0,0,1,1
2026-03-31,biggymuticha,1,0,0,0,0,0,0,1,1
2026-03-31,dmalik0806,1,0,0,0,0,0,0,1,1
2026-03-31,filarial-gauntlet752,1,0,0,0,0,0,0,1,1
2026-03-31,icygiant,1,0,0,0,0,0,0,1,1
2026-03-31,narathipg,1,0,0,0,0,0,0,1,1
2026-03-31,rhartzell-tyler,1,0,0,0,0,0,0,1,1
2026-03-29,juspay,1,41764,41764,4577,41764,1445,0,1,1
2026-03-29,spring-projects,1,8338,8338,2396,8338,1272,0,1,1
2026-03-29,superiorlu,1,755,755,108,755,6,0,1,1
2026-03-29,OWOX,1,217,217,30,217,10,0,1,1
2026-03-29,didtheyghostme,1,35,35,2,35,1,0,1,1
2026-03-29,ralfbecher,1,23,23,3,23,0,0,1,1
2026-03-29,ministryofjustice,1,21,21,9,21,200,0,1,1
2026-03-29,BulloRosso,1,19,19,2,19,3,0,1,1
